Geo Point;Geo Shape;ID_REF_ZDL;NOM_LONG;LABEL;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;TERFER;TERTRAIN;TERRER;TERMETRO;TERTRAM;TERNAVETTE;TERVAL;EXPLOITANT;PRINCIPAL;IDF;X;Y
48.8595573169, 2.90573696319;"{""type"": ""Point"", ""coordinates"": [2.905736963185549, 48.859557316873314]}";47894;CRECY-EN-BRIE-LA-CHAPELLE;CRÉCY-EN-BRIE-LA-CHAPELLE;Train;1;1;0;0;0;0;0;TRAIN_P;TRAIN_P;0;0;0;0;0;SNCF;1;1;641764.401;128946.479
48.7349392965, 2.86895583008;"{""type"": ""Point"", ""coordinates"": [2.868955830083688, 48.73493929649145]}";43247;MARLES-EN-BRIE;MARLES EN BRIE;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;639163.6;115069.5
48.7894966769, 2.90738727173;"{""type"": ""Point"", ""coordinates"": [2.907387271733687, 48.789496676874776]}";47942;MORTCERF;MORTCERF;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;641944.484;121156.838
48.8107753209, 2.95373038446;"{""type"": ""Point"", ""coordinates"": [2.953730384464443, 48.81077532088152]}";47205;GUERARD-LA-CELLE-SUR-MORIN;GUÉRARD LA CELLE-SUR-MORIN;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;645330.134;123549.797
48.8086539649, 2.99310989342;"{""type"": ""Point"", ""coordinates"": [2.993109893419177, 48.80865396493307]}";47199;FAREMOUTIERS-POMMEUSE;FAREMOUTIERS-POMMEUSE;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;648224.318;123338.355
49.0325740905, 2.69945308782;"{""type"": ""Point"", ""coordinates"": [2.699453087823033, 49.032574090469474]}";46736;DAMMARTIN-JUILLY-SAINT-MARD;DAMMARTIN JUILLY ST-MARD;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;1;1;626536.433;148092.181
48.8309953013, 2.35583489797;"{""type"": ""Point"", ""coordinates"": [2.355834897965553, 48.830995301304384]}";44371;PLACE D'ITALIE;Place d'Italie;Metro;0;0;0;1;0;0;0;0;0;0;M5;0;0;0;RATP;0;1;601417.684;125612.896
48.8504345508, 2.29361243444;"{""type"": ""Point"", ""coordinates"": [2.293612434438138, 48.850434550795896]}";42871;DUPLEIX;Dupleix;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;596850.872;127775.268
48.857448691, 2.28581244413;"{""type"": ""Point"", ""coordinates"": [2.285812444134081, 48.857448690975104]}";45417;PASSY;Passy;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;596278.99;128555.603
48.8716497691, 2.29352429034;"{""type"": ""Point"", ""coordinates"": [2.293524290341821, 48.87164976914353]}";43498;KLEBER;Kléber;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;596845.763;130134.419
48.9149497573, 2.40440908878;"{""type"": ""Point"", ""coordinates"": [2.404409088781864, 48.91494975727622]}";47891;FORT D'AUBERVILLIERS;Fort d'Aubervilliers;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;604975.407;134950.747
48.8973898916, 2.38550838767;"{""type"": ""Point"", ""coordinates"": [2.385508387668673, 48.89738989158186]}";44518;PORTE DE LA VILLETTE;Porte de la Villette;Metro / Tramway;0;0;0;1;1;0;0;0;0;0;0;0;0;0;RATP;0;1;603591.412;132997.01
48.8785656258, 2.36216007056;"{""type"": ""Point"", ""coordinates"": [2.362160070559614, 48.87856562579233]}";42583;CHATEAU-LANDON;Château-Landon;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;601880.281;130902.89
48.8772363191, 2.34929390111;"{""type"": ""Point"", ""coordinates"": [2.349293901112603, 48.87723631912919]}";45165;POISSONNIERE;Poissonnière;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;600936.639;130754.828
48.8657611028, 2.33442748591;"{""type"": ""Point"", ""coordinates"": [2.334427485913044, 48.86576110282936]}";44579;PYRAMIDES;Pyramides;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;599846.193;129478.698
48.8404866526, 2.35173948717;"{""type"": ""Point"", ""coordinates"": [2.351739487166927, 48.8404866526412]}";42461;CENSIER-DAUBENTON;Censier-Daubenton;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;601116.814;126668.272
48.8224378319, 2.35847388389;"{""type"": ""Point"", ""coordinates"": [2.358473883887533, 48.82243783188753]}";44057;MAISON BLANCHE;Maison Blanche;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;601611.696;124661.352
